time,words_per_second
4.460000000000002,1.2
6.960000000000002,2.0
9.46,1.2
11.96,1.0
14.46,3.4
16.96,3.4
19.46,0.6
21.96,1.6
24.46,3.0
26.96,2.8
29.46,6.2
31.96,6.0
34.46,2.8
36.96,3.4
39.46,1.8
41.96,0.8
44.46,1.4
46.96,0.6
49.46,0.4
51.96,1.4
54.46,1.6
56.96,1.8
59.46,5.2
61.96,8.8
64.46000000000001,7.6
66.96000000000001,6.4
69.46000000000001,6.6
71.96000000000001,5.2
74.46000000000001,5.4
76.96000000000001,4.0
79.46000000000001,2.0
81.96000000000001,4.0
84.46000000000001,6.0
86.96000000000001,7.0
89.46000000000001,4.8
91.96000000000001,3.2
94.46000000000001,5.4
96.96000000000001,3.8
99.46000000000001,1.2
101.96000000000001,2.2
104.46000000000001,4.4
106.96000000000001,3.0
109.46000000000001,1.0
111.96000000000001,2.8
114.46000000000001,4.0
116.96000000000001,2.4
119.46000000000001,3.8
121.96000000000001,4.6
124.46000000000001,2.4
126.96000000000001,3.4
129.46,3.4
131.96,2.6
134.46,3.0
136.96,3.6
139.46,3.6
141.96,2.6
144.46,4.2
146.96,4.0
149.46,1.8
151.96,2.6
154.46,2.8
156.96,2.6
159.46,2.6
161.96,2.0
164.46,2.4
166.96,4.2
169.46,3.4
171.96,1.8
174.46,2.0
176.96,3.0
179.46,4.0
181.96,2.4
184.46,1.6
186.96,2.6
189.46,2.4
191.96,2.0
194.46,2.4
196.96,2.6
199.46,2.2
201.96,1.2
204.46,1.8
206.96,3.6
209.46,3.4
211.96,3.2
214.46,3.2
216.96,4.4
219.46,4.2
221.96,1.8
224.46,2.0
226.96,2.6
229.46,2.0
231.96,2.2
234.46,2.0
236.96,1.6
239.46,3.2
241.96,3.8
244.46,3.2
246.96,3.2
249.46,4.2
251.96,5.4
254.46,3.8
256.96,2.8
259.46,3.4
261.96,2.6
264.46,2.0
266.96,4.2
269.46,4.8
271.96,4.6
274.46,4.2
276.96,4.4
279.46,3.6
281.96,1.2
284.46,2.0
286.96,3.0
289.46,5.4
291.96,5.2
294.46,2.8
296.96,2.0
299.46,1.8
301.96,3.0
304.46,4.6
306.96,4.2
309.46,3.4
311.96,5.0
314.46,7.0
316.96,7.8
319.46,6.4
321.96,4.6
324.46,3.2
326.96,1.2
329.46,0.8
331.96,2.0
334.46,3.0
336.96,5.8
339.46,7.4
341.96,7.2
344.46,6.4
346.96,4.4
349.46,3.4
351.96,2.6
354.46,3.2
356.96,3.2
359.46,1.6
