segment_id,start,end,text,words,avg_logprob,no_speech_prob,start_meg,end_meg,words_meg
0,1.9399999999999995,4.5,"Okay, so you're in your first year?","[{'word': ' Okay,', 'start': np.float64(1.9399999999999995), 'end': np.float64(2.4), 'probability': np.float64(0.6263337135314941)}, {'word': ' so', 'start': np.float64(2.62), 'end': np.float64(2.68), 'probability': np.float64(0.9909740090370178)}, {'word': "" you're"", 'start': np.float64(2.68), 'end': np.float64(3.12), 'probability': np.float64(0.9821900427341461)}, {'word': ' in', 'start': np.float64(3.12), 'end': np.float64(3.36), 'probability': np.float64(0.9978563189506531)}, {'word': ' your', 'start': np.float64(3.36), 'end': np.float64(3.6), 'probability': np.float64(0.9955548644065857)}, {'word': ' first', 'start': np.float64(3.6), 'end': np.float64(4.12), 'probability': np.float64(0.9961687922477722)}, {'word': ' year?', 'start': np.float64(4.12), 'end': np.float64(4.5), 'probability': np.float64(0.9958272576332092)}]",-0.44407170159476145,0.3138231337070465,7.278,9.838000000000001,"[{'word': ' Okay,', 'start': np.float64(1.9399999999999995), 'end': np.float64(2.4), 'probability': np.float64(0.6263337135314941), 'start_meg': np.float64(7.278), 'end_meg': np.float64(7.7379999999999995)}, {'word': ' so', 'start': np.float64(2.62), 'end': np.float64(2.68), 'probability': np.float64(0.9909740090370178), 'start_meg': np.float64(7.958), 'end_meg': np.float64(8.018)}, {'word': "" you're"", 'start': np.float64(2.68), 'end': np.float64(3.12), 'probability': np.float64(0.9821900427341461), 'start_meg': np.float64(8.018), 'end_meg': np.float64(8.458)}, {'word': ' in', 'start': np.float64(3.12), 'end': np.float64(3.36), 'probability': np.float64(0.9978563189506531), 'start_meg': np.float64(8.458), 'end_meg': np.float64(8.698)}, {'word': ' your', 'start': np.float64(3.36), 'end': np.float64(3.6), 'probability': np.float64(0.9955548644065857), 'start_meg': np.float64(8.698), 'end_meg': np.float64(8.938)}, {'word': ' first', 'start': np.float64(3.6), 'end': np.float64(4.12), 'probability': np.float64(0.9961687922477722), 'start_meg': np.float64(8.938), 'end_meg': np.float64(9.458)}, {'word': ' year?', 'start': np.float64(4.12), 'end': np.float64(4.5), 'probability': np.float64(0.9958272576332092), 'start_meg': np.float64(9.458), 'end_meg': np.float64(9.838000000000001)}]"
1,4.88,5.32,Yeah.,"[{'word': ' Yeah.', 'start': np.float64(4.88), 'end': np.float64(5.32), 'probability': np.float64(0.4158697724342346)}]",-0.44407170159476145,0.3138231337070465,10.218,10.658000000000001,"[{'word': ' Yeah.', 'start': np.float64(4.88), 'end': np.float64(5.32), 'probability': np.float64(0.4158697724342346), 'start_meg': np.float64(10.218), 'end_meg': np.float64(10.658000000000001)}]"
2,5.76,7.78,How has it been so far?,"[{'word': ' How', 'start': np.float64(5.76), 'end': np.float64(6.1), 'probability': np.float64(0.9576143622398376)}, {'word': ' has', 'start': np.float64(6.1), 'end': np.float64(6.32), 'probability': np.float64(0.5421620011329651)}, {'word': ' it', 'start': np.float64(6.32), 'end': np.float64(6.48), 'probability': np.float64(0.9956583976745605)}, {'word': ' been', 'start': np.float64(6.48), 'end': np.float64(7.04), 'probability': np.float64(0.991511881351471)}, {'word': ' so', 'start': np.float64(7.04), 'end': np.float64(7.34), 'probability': np.float64(0.9976629018783569)}, {'word': ' far?', 'start': np.float64(7.34), 'end': np.float64(7.78), 'probability': np.float64(0.9997135996818542)}]",-0.44407170159476145,0.3138231337070465,11.097999999999999,13.118,"[{'word': ' How', 'start': np.float64(5.76), 'end': np.float64(6.1), 'probability': np.float64(0.9576143622398376), 'start_meg': np.float64(11.097999999999999), 'end_meg': np.float64(11.437999999999999)}, {'word': ' has', 'start': np.float64(6.1), 'end': np.float64(6.32), 'probability': np.float64(0.5421620011329651), 'start_meg': np.float64(11.437999999999999), 'end_meg': np.float64(11.658000000000001)}, {'word': ' it', 'start': np.float64(6.32), 'end': np.float64(6.48), 'probability': np.float64(0.9956583976745605), 'start_meg': np.float64(11.658000000000001), 'end_meg': np.float64(11.818000000000001)}, {'word': ' been', 'start': np.float64(6.48), 'end': np.float64(7.04), 'probability': np.float64(0.991511881351471), 'start_meg': np.float64(11.818000000000001), 'end_meg': np.float64(12.378)}, {'word': ' so', 'start': np.float64(7.04), 'end': np.float64(7.34), 'probability': np.float64(0.9976629018783569), 'start_meg': np.float64(12.378), 'end_meg': np.float64(12.678)}, {'word': ' far?', 'start': np.float64(7.34), 'end': np.float64(7.78), 'probability': np.float64(0.9997135996818542), 'start_meg': np.float64(12.678), 'end_meg': np.float64(13.118)}]"
3,9.239999999999998,10.48,"Good, mostly.","[{'word': ' Good,', 'start': np.float64(9.239999999999998), 'end': np.float64(9.7), 'probability': np.float64(0.14276276528835297)}, {'word': ' mostly.', 'start': np.float64(10.04), 'end': np.float64(10.48), 'probability': np.float64(0.6200272440910339)}]",-0.44407170159476145,0.3138231337070465,14.578,15.818000000000001,"[{'word': ' Good,', 'start': np.float64(9.239999999999998), 'end': np.float64(9.7), 'probability': np.float64(0.14276276528835297), 'start_meg': np.float64(14.578), 'end_meg': np.float64(15.038)}, {'word': ' mostly.', 'start': np.float64(10.04), 'end': np.float64(10.48), 'probability': np.float64(0.6200272440910339), 'start_meg': np.float64(15.378), 'end_meg': np.float64(15.818000000000001)}]"
4,11.92,15.26,"But a few assessments, they're going to be on time.","[{'word': ' But', 'start': np.float64(11.92), 'end': np.float64(12.38), 'probability': np.float64(0.8154686093330383)}, {'word': ' a', 'start': np.float64(12.38), 'end': np.float64(12.52), 'probability': np.float64(0.4547836482524872)}, {'word': ' few', 'start': np.float64(12.52), 'end': np.float64(12.62), 'probability': np.float64(0.9991934895515442)}, {'word': ' assessments,', 'start': np.float64(12.62), 'end': np.float64(13.02), 'probability': np.float64(0.9273190498352051)}, {'word': "" they're"", 'start': np.float64(13.18), 'end': np.float64(14.46), 'probability': np.float64(0.3093627616763115)}, {'word': ' going', 'start': np.float64(14.46), 'end': np.float64(14.64), 'probability': np.float64(0.3453311622142792)}, {'word': ' to', 'start': np.float64(14.64), 'end': np.float64(14.66), 'probability': np.float64(0.697855532169342)}, {'word': ' be', 'start': np.float64(14.66), 'end': np.float64(14.82), 'probability': np.float64(0.24132779240608215)}, {'word': ' on', 'start': np.float64(14.82), 'end': np.float64(15.26), 'probability': np.float64(0.21923373639583588)}, {'word': ' time.', 'start': np.float64(15.26), 'end': np.float64(15.26), 'probability': np.float64(0.4100290834903717)}]",-0.44407170159476145,0.3138231337070465,17.258,20.598,"[{'word': ' But', 'start': np.float64(11.92), 'end': np.float64(12.38), 'probability': np.float64(0.8154686093330383), 'start_meg': np.float64(17.258), 'end_meg': np.float64(17.718)}, {'word': ' a', 'start': np.float64(12.38), 'end': np.float64(12.52), 'probability': np.float64(0.4547836482524872), 'start_meg': np.float64(17.718), 'end_meg': np.float64(17.858)}, {'word': ' few', 'start': np.float64(12.52), 'end': np.float64(12.62), 'probability': np.float64(0.9991934895515442), 'start_meg': np.float64(17.858), 'end_meg': np.float64(17.958)}, {'word': ' assessments,', 'start': np.float64(12.62), 'end': np.float64(13.02), 'probability': np.float64(0.9273190498352051), 'start_meg': np.float64(17.958), 'end_meg': np.float64(18.358)}, {'word': "" they're"", 'start': np.float64(13.18), 'end': np.float64(14.46), 'probability': np.float64(0.3093627616763115), 'start_meg': np.float64(18.518), 'end_meg': np.float64(19.798000000000002)}, {'word': ' going', 'start': np.float64(14.46), 'end': np.float64(14.64), 'probability': np.float64(0.3453311622142792), 'start_meg': np.float64(19.798000000000002), 'end_meg': np.float64(19.978)}, {'word': ' to', 'start': np.float64(14.64), 'end': np.float64(14.66), 'probability': np.float64(0.697855532169342), 'start_meg': np.float64(19.978), 'end_meg': np.float64(19.998)}, {'word': ' be', 'start': np.float64(14.66), 'end': np.float64(14.82), 'probability': np.float64(0.24132779240608215), 'start_meg': np.float64(19.998), 'end_meg': np.float64(20.158)}, {'word': ' on', 'start': np.float64(14.82), 'end': np.float64(15.26), 'probability': np.float64(0.21923373639583588), 'start_meg': np.float64(20.158), 'end_meg': np.float64(20.598)}, {'word': ' time.', 'start': np.float64(15.26), 'end': np.float64(15.26), 'probability': np.float64(0.4100290834903717), 'start_meg': np.float64(20.598), 'end_meg': np.float64(20.598)}]"
5,15.62,16.16,I think it's in time.,"[{'word': ' I', 'start': np.float64(15.62), 'end': np.float64(15.62), 'probability': np.float64(0.0929856151342392)}, {'word': ' think', 'start': np.float64(15.62), 'end': np.float64(15.62), 'probability': np.float64(0.3073030114173889)}, {'word': "" it's"", 'start': np.float64(15.62), 'end': np.float64(15.86), 'probability': np.float64(0.8059074580669403)}, {'word': ' in', 'start': np.float64(15.86), 'end': np.float64(15.94), 'probability': np.float64(0.13747230172157288)}, {'word': ' time.', 'start': np.float64(15.94), 'end': np.float64(16.16), 'probability': np.float64(0.14416690170764923)}]",-0.44407170159476145,0.3138231337070465,20.958,21.498,"[{'word': ' I', 'start': np.float64(15.62), 'end': np.float64(15.62), 'probability': np.float64(0.0929856151342392), 'start_meg': np.float64(20.958), 'end_meg': np.float64(20.958)}, {'word': ' think', 'start': np.float64(15.62), 'end': np.float64(15.62), 'probability': np.float64(0.3073030114173889), 'start_meg': np.float64(20.958), 'end_meg': np.float64(20.958)}, {'word': "" it's"", 'start': np.float64(15.62), 'end': np.float64(15.86), 'probability': np.float64(0.8059074580669403), 'start_meg': np.float64(20.958), 'end_meg': np.float64(21.198)}, {'word': ' in', 'start': np.float64(15.86), 'end': np.float64(15.94), 'probability': np.float64(0.13747230172157288), 'start_meg': np.float64(21.198), 'end_meg': np.float64(21.278)}, {'word': ' time.', 'start': np.float64(15.94), 'end': np.float64(16.16), 'probability': np.float64(0.14416690170764923), 'start_meg': np.float64(21.278), 'end_meg': np.float64(21.498)}]"
6,17.24,21.04,"Have you got two, do you have two weeks to set up?","[{'word': ' Have', 'start': np.float64(17.24), 'end': np.float64(17.42), 'probability': np.float64(0.1946173757314682)}, {'word': ' you', 'start': np.float64(17.42), 'end': np.float64(17.54), 'probability': np.float64(0.9085593819618225)}, {'word': ' got', 'start': np.float64(17.54), 'end': np.float64(17.62), 'probability': np.float64(0.34428665041923523)}, {'word': ' two,', 'start': np.float64(17.62), 'end': np.float64(18.32), 'probability': np.float64(0.8356289863586426)}, {'word': ' do', 'start': np.float64(18.54), 'end': np.float64(19.3), 'probability': np.float64(0.5677874088287354)}, {'word': ' you', 'start': np.float64(19.3), 'end': np.float64(19.46), 'probability': np.float64(0.9721613526344299)}, {'word': ' have', 'start': np.float64(19.46), 'end': np.float64(19.52), 'probability': np.float64(0.6321635246276855)}, {'word': ' two', 'start': np.float64(19.52), 'end': np.float64(20.22), 'probability': np.float64(0.1442510485649109)}, {'word': ' weeks', 'start': np.float64(20.22), 'end': np.float64(20.6), 'probability': np.float64(0.9623437523841858)}, {'word': ' to', 'start': np.float64(20.6), 'end': np.float64(20.86), 'probability': np.float64(0.18296395242214203)}, {'word': ' set', 'start': np.float64(20.86), 'end': np.float64(20.9), 'probability': np.float64(0.21621988713741302)}, {'word': ' up?', 'start': np.float64(20.9), 'end': np.float64(21.04), 'probability': np.float64(0.5898479223251343)}]",-0.44407170159476145,0.3138231337070465,22.578,26.378,"[{'word': ' Have', 'start': np.float64(17.24), 'end': np.float64(17.42), 'probability': np.float64(0.1946173757314682), 'start_meg': np.float64(22.578), 'end_meg': np.float64(22.758000000000003)}, {'word': ' you', 'start': np.float64(17.42), 'end': np.float64(17.54), 'probability': np.float64(0.9085593819618225), 'start_meg': np.float64(22.758000000000003), 'end_meg': np.float64(22.878)}, {'word': ' got', 'start': np.float64(17.54), 'end': np.float64(17.62), 'probability': np.float64(0.34428665041923523), 'start_meg': np.float64(22.878), 'end_meg': np.float64(22.958000000000002)}, {'word': ' two,', 'start': np.float64(17.62), 'end': np.float64(18.32), 'probability': np.float64(0.8356289863586426), 'start_meg': np.float64(22.958000000000002), 'end_meg': np.float64(23.658)}, {'word': ' do', 'start': np.float64(18.54), 'end': np.float64(19.3), 'probability': np.float64(0.5677874088287354), 'start_meg': np.float64(23.878), 'end_meg': np.float64(24.638)}, {'word': ' you', 'start': np.float64(19.3), 'end': np.float64(19.46), 'probability': np.float64(0.9721613526344299), 'start_meg': np.float64(24.638), 'end_meg': np.float64(24.798000000000002)}, {'word': ' have', 'start': np.float64(19.46), 'end': np.float64(19.52), 'probability': np.float64(0.6321635246276855), 'start_meg': np.float64(24.798000000000002), 'end_meg': np.float64(24.858)}, {'word': ' two', 'start': np.float64(19.52), 'end': np.float64(20.22), 'probability': np.float64(0.1442510485649109), 'start_meg': np.float64(24.858), 'end_meg': np.float64(25.558)}, {'word': ' weeks', 'start': np.float64(20.22), 'end': np.float64(20.6), 'probability': np.float64(0.9623437523841858), 'start_meg': np.float64(25.558), 'end_meg': np.float64(25.938000000000002)}, {'word': ' to', 'start': np.float64(20.6), 'end': np.float64(20.86), 'probability': np.float64(0.18296395242214203), 'start_meg': np.float64(25.938000000000002), 'end_meg': np.float64(26.198)}, {'word': ' set', 'start': np.float64(20.86), 'end': np.float64(20.9), 'probability': np.float64(0.21621988713741302), 'start_meg': np.float64(26.198), 'end_meg': np.float64(26.238)}, {'word': ' up?', 'start': np.float64(20.9), 'end': np.float64(21.04), 'probability': np.float64(0.5898479223251343), 'start_meg': np.float64(26.238), 'end_meg': np.float64(26.378)}]"
7,21.5,21.84,Okay.,"[{'word': ' Okay.', 'start': np.float64(21.5), 'end': np.float64(21.84), 'probability': np.float64(0.6935024857521057)}]",-0.44407170159476145,0.3138231337070465,26.838,27.178,"[{'word': ' Okay.', 'start': np.float64(21.5), 'end': np.float64(21.84), 'probability': np.float64(0.6935024857521057), 'start_meg': np.float64(26.838), 'end_meg': np.float64(27.178)}]"
8,22.28,23.38,"Yeah, two weeks to start.","[{'word': ' Yeah,', 'start': np.float64(22.28), 'end': np.float64(22.48), 'probability': np.float64(0.2374226301908493)}, {'word': ' two', 'start': np.float64(22.54), 'end': np.float64(22.72), 'probability': np.float64(0.7979347109794617)}, {'word': ' weeks', 'start': np.float64(22.72), 'end': np.float64(22.96), 'probability': np.float64(0.9837172031402588)}, {'word': ' to', 'start': np.float64(22.96), 'end': np.float64(23.18), 'probability': np.float64(0.7723394632339478)}, {'word': ' start.', 'start': np.float64(23.18), 'end': np.float64(23.38), 'probability': np.float64(0.8337581157684326)}]",-0.44407170159476145,0.3138231337070465,27.618000000000002,28.718,"[{'word': ' Yeah,', 'start': np.float64(22.28), 'end': np.float64(22.48), 'probability': np.float64(0.2374226301908493), 'start_meg': np.float64(27.618000000000002), 'end_meg': np.float64(27.818)}, {'word': ' two', 'start': np.float64(22.54), 'end': np.float64(22.72), 'probability': np.float64(0.7979347109794617), 'start_meg': np.float64(27.878), 'end_meg': np.float64(28.058)}, {'word': ' weeks', 'start': np.float64(22.72), 'end': np.float64(22.96), 'probability': np.float64(0.9837172031402588), 'start_meg': np.float64(28.058), 'end_meg': np.float64(28.298000000000002)}, {'word': ' to', 'start': np.float64(22.96), 'end': np.float64(23.18), 'probability': np.float64(0.7723394632339478), 'start_meg': np.float64(28.298000000000002), 'end_meg': np.float64(28.518)}, {'word': ' start.', 'start': np.float64(23.18), 'end': np.float64(23.38), 'probability': np.float64(0.8337581157684326), 'start_meg': np.float64(28.518), 'end_meg': np.float64(28.718)}]"
9,23.62,25.28,"But you know, two weeks is a long time.","[{'word': ' But', 'start': np.float64(23.62), 'end': np.float64(23.74), 'probability': np.float64(0.8409403562545776)}, {'word': ' you', 'start': np.float64(23.74), 'end': np.float64(24.08), 'probability': np.float64(0.42315611243247986)}, {'word': ' know,', 'start': np.float64(24.08), 'end': np.float64(24.18), 'probability': np.float64(0.9668015241622925)}, {'word': ' two', 'start': np.float64(24.38), 'end': np.float64(24.5), 'probability': np.float64(0.6197945475578308)}, {'word': ' weeks', 'start': np.float64(24.5), 'end': np.float64(24.7), 'probability': np.float64(0.9387348890304565)}, {'word': ' is', 'start': np.float64(24.7), 'end': np.float64(24.8), 'probability': np.float64(0.9795091152191162)}, {'word': ' a', 'start': np.float64(24.8), 'end': np.float64(24.86), 'probability': np.float64(0.9856482744216919)}, {'word': ' long', 'start': np.float64(24.86), 'end': np.float64(25.02), 'probability': np.float64(0.997485876083374)}, {'word': ' time.', 'start': np.float64(25.02), 'end': np.float64(25.28), 'probability': np.float64(0.99808669090271)}]",-0.44407170159476145,0.3138231337070465,28.958000000000002,30.618000000000002,"[{'word': ' But', 'start': np.float64(23.62), 'end': np.float64(23.74), 'probability': np.float64(0.8409403562545776), 'start_meg': np.float64(28.958000000000002), 'end_meg': np.float64(29.078)}, {'word': ' you', 'start': np.float64(23.74), 'end': np.float64(24.08), 'probability': np.float64(0.42315611243247986), 'start_meg': np.float64(29.078), 'end_meg': np.float64(29.418)}, {'word': ' know,', 'start': np.float64(24.08), 'end': np.float64(24.18), 'probability': np.float64(0.9668015241622925), 'start_meg': np.float64(29.418), 'end_meg': np.float64(29.518)}, {'word': ' two', 'start': np.float64(24.38), 'end': np.float64(24.5), 'probability': np.float64(0.6197945475578308), 'start_meg': np.float64(29.718), 'end_meg': np.float64(29.838)}, {'word': ' weeks', 'start': np.float64(24.5), 'end': np.float64(24.7), 'probability': np.float64(0.9387348890304565), 'start_meg': np.float64(29.838), 'end_meg': np.float64(30.038)}, {'word': ' is', 'start': np.float64(24.7), 'end': np.float64(24.8), 'probability': np.float64(0.9795091152191162), 'start_meg': np.float64(30.038), 'end_meg': np.float64(30.138)}, {'word': ' a', 'start': np.float64(24.8), 'end': np.float64(24.86), 'probability': np.float64(0.9856482744216919), 'start_meg': np.float64(30.138), 'end_meg': np.float64(30.198)}, {'word': ' long', 'start': np.float64(24.86), 'end': np.float64(25.02), 'probability': np.float64(0.997485876083374), 'start_meg': np.float64(30.198), 'end_meg': np.float64(30.358)}, {'word': ' time.', 'start': np.float64(25.02), 'end': np.float64(25.28), 'probability': np.float64(0.99808669090271), 'start_meg': np.float64(30.358), 'end_meg': np.float64(30.618000000000002)}]"
