Subject,Run,Console_MEG_Console_Audio_Correlation,Console_MEG_Console_Audio_Offset_s,Subject_MEG_Subject_Audio_Correlation,Subject_MEG_Subject_Audio_Offset_s,Selected_Pairing,Final_Correlation,Final_Offset_s,Quality
sub-01,1,0.8788993307212133,12.253,0.4972939729298492,12.237,console_meg_console_audio,0.8788993307212133,12.253,excellent
sub-01,2,1.0028026459015882,4.426,0.34099446865340427,4.212,console_meg_console_audio,1.0028026459015882,4.426,excellent
sub-01,3,0.9832650037362977,3.837,0.41471981533586066,3.819,console_meg_console_audio,0.9832650037362977,3.837,excellent
sub-01,4,1.0131521492873252,3.297,0.31417669096485606,3.281,console_meg_console_audio,1.0131521492873252,3.297,excellent
sub-01,5,0.9296977072160603,5.328,0.4152795275483683,5.31,console_meg_console_audio,0.9296977072160603,5.328,excellent
sub-02,1,0.9696511390810285,3.653,0.39405082309061296,3.629,console_meg_console_audio,0.9696511390810285,3.653,excellent
sub-02,2,0.9962347699935671,14.148,0.3693219193132235,14.026,console_meg_console_audio,0.9962347699935671,14.148,excellent
sub-02,3,0.9454904211953475,3.844,0.321815294174762,3.739,console_meg_console_audio,0.9454904211953475,3.844,excellent
sub-02,4,0.9998273960540797,2.296,0.3311366894730819,2.403,console_meg_console_audio,0.9998273960540797,2.296,excellent
sub-02,5,0.8098329023476523,5.15,0.3194623914380074,5.077,console_meg_console_audio,0.8098329023476523,5.15,excellent
sub-03,1,0.9329394048977779,3.681,0.6284207338989144,3.669,console_meg_console_audio,0.9329394048977779,3.681,excellent
sub-03,2,0.9935667828088018,3.131,0.6886505962725613,3.118,console_meg_console_audio,0.9935667828088018,3.131,excellent
sub-03,3,0.9464107886770023,2.293,0.6469770836848371,2.282,console_meg_console_audio,0.9464107886770023,2.293,excellent
sub-03,4,0.9722319923135188,7.871,0.794427712533703,7.859,console_meg_console_audio,0.9722319923135188,7.871,excellent
sub-03,5,0.9301834076521476,3.953,0.7176315224115892,3.949,console_meg_console_audio,0.9301834076521476,3.953,excellent
sub-04,1,0.9012976139094618,4.855,0.39198509602795184,4.842,console_meg_console_audio,0.9012976139094618,4.855,excellent
sub-04,2,0.6759879248845412,3.622,0.32914562321436136,3.483,console_meg_console_audio,0.6759879248845412,3.622,good
sub-04,3,0.8721211296696773,3.961,0.44498371867939174,3.948,console_meg_console_audio,0.8721211296696773,3.961,excellent
sub-04,4,0.8137284608750328,2.049,0.3504052451947916,1.918,console_meg_console_audio,0.8137284608750328,2.049,excellent
sub-04,5,0.948720286392709,2.443,0.41741644829001234,2.433,console_meg_console_audio,0.948720286392709,2.443,excellent
sub-05,1,0.1665627286805368,-0.057,0.16299034201305465,27.054,console_meg_console_audio,0.1665627286805368,-0.057,poor
sub-05,2,0.9950364477759855,1.888,0.4074611012472318,1.866,console_meg_console_audio,0.9950364477759855,1.888,excellent
sub-05,3,0.937541004599057,5.116,0.632474226277985,5.098,console_meg_console_audio,0.937541004599057,5.116,excellent
sub-05,4,0.9947177789796972,7.075,0.2680353826451465,7.054,console_meg_console_audio,0.9947177789796972,7.075,excellent
sub-05,5,0.9389598989229903,4.654,0.5561798619824389,4.641,console_meg_console_audio,0.9389598989229903,4.654,excellent
sub-06,1,0.8885485055859506,8.76,0.6620762196256008,8.742,console_meg_console_audio,0.8885485055859506,8.76,excellent
sub-06,2,0.9911204960636583,4.935,0.47122052185697116,4.921,console_meg_console_audio,0.9911204960636583,4.935,excellent
sub-06,3,0.9400065298065319,4.717,0.570721467763727,4.706,console_meg_console_audio,0.9400065298065319,4.717,excellent
